"CNPJ","NomeDaEmpresa","DadosAdicionais"
"4608246691","","Pagamento em dia"
"1230611535127","","Contrato anual"
"1529632335","Sales","Cliente preferencial"
"2553224882","Pires Duarte S/A","Cliente preferencial"
"0386829736","Fogaça - EI","Serviço suspenso"
"8574385548","Fernandes","Plano corporativo"
"1958237623","Almeida S.A.","Plano corporativo"
"8642564326935","da Luz - ME","Contrato anual"
"7207262191675","","Plano corporativo"
"3191241273","da Paz S/A","Renovação automática"
"9473107615","","Renovação automática"
"4124889085","","Renovação automática"
"8372544061210","","Contrato anual"
"8170807796","","Pagamento em dia"
"2962550311","Campos","Renovação automática"
