"CNPJ","NomeDaEmpresa","DadosAdicionais"
"30.014.941/0001-45","Porto","Pagamento em dia"
"4150937617327","Pires - EI","Renovação automática"
"8945182953","Azevedo da Cruz S/A","Serviço suspenso"
"20.974.280/0001-46","Caldeira","Cliente preferencial"
"5764781164328","Rodrigues","Plano corporativo"
"8223457304","Novaes das Neves - ME","Renovação automática"
"20.974.280/0001-46","Gonçalves","Renovação automática"
"79.983.946/0001-75","Porto","Renovação automática"
"93.754.904/0001-93","das Neves da Cunha e Filhos","Cliente preferencial"
"36830008000122","Lopes","Renovação automática"
"5290999081","da Mota Araújo S/A","Cliente preferencial"
"05.778.226/0001-34","da Mota","Plano corporativo"
"43.331.020/0001-79","Silveira S.A.","Plano corporativo"
"60.355.044/0001-66","Novaes Ferreira e Filhos","Cliente preferencial"
"12.941.856/0001-42","Moraes Porto Ltda.","Cliente preferencial"
"67.497.275/0001-44","Ferreira","Contrato anual"
"55.039.944/0001-14","da Mota","Pagamento em dia"
"59.674.190/0001-86","Melo","Plano corporativo"
"64428578000150","Moura","Plano corporativo"
"57.598.129/0001-60","Freitas","Serviço suspenso"
