CNPJ,NomeDaEmpresa,DadosAdicionais
58.884.282/0001-73,empresa1@negocio.com,
,empresa2@negocio.com,Grupo Nova Era - Construções LTDA
00.000.000/0000-00,,
23.533.285/0001-15,empresa4@empresa.com.br,
,empresa5@negocio.com,Construmax - Consultoria Empresarial
00.000.000/0000-00,,
22.887.377/0001-11,empresa7@corp.net,
,empresa8@corp.net,Construmax - Soluções em TI
00.000.000/0000-00,,
68.195.963/0001-17,empresa10@empresa.com.br,
,empresa11@servicos.org,Grupo Nova Era - Soluções em TI
00.000.000/0000-00,,
82.752.944/0001-99,empresa13@empresa.com.br,
,empresa14@corp.net,QualyServ - Transportes Gerais
00.000.000/0000-00,,
79.945.373/0001-76,empresa16@negocio.com,
,empresa17@corp.net,LogisBem - Transportes Gerais
00.000.000/0000-00,,
82.261.838/0001-56,empresa19@servicos.org,
,empresa20@servicos.org,QualyServ - Consultoria Empresarial
00.000.000/0000-00,,
29.560.111/0001-44,empresa22@empresa.com.br,
,empresa23@servicos.org,QualyServ - Soluções em TI
00.000.000/0000-00,,
12.618.742/0001-64,empresa25@corp.net,
,empresa26@corp.net,QualyServ - Consultoria Empresarial
00.000.000/0000-00,,
56.542.645/0001-22,empresa28@corp.net,
,empresa29@negocio.com,LogisBem - Soluções em TI
00.000.000/0000-00,,
72.266.485/0001-36,empresa31@corp.net,
,empresa32@servicos.org,LogisBem - Soluções em TI
00.000.000/0000-00,,
29.912.211/0001-72,empresa34@negocio.com,
,empresa35@negocio.com,QualyServ - Comércio de Alimentos
00.000.000/0000-00,,
92.519.760/0001-36,empresa37@corp.net,
,empresa38@negocio.com,AlvoTech - Transportes Gerais
00.000.000/0000-00,,
98.654.655/0001-92,empresa40@empresa.com.br,
,empresa41@servicos.org,Grupo Nova Era - Consultoria Empresarial
00.000.000/0000-00,,
22.186.862/0001-63,empresa43@corp.net,
,empresa44@servicos.org,LogisBem - Comércio de Alimentos
00.000.000/0000-00,,
63.461.635/0001-48,empresa46@empresa.com.br,
,empresa47@empresa.com.br,LogisBem - Construções LTDA
00.000.000/0000-00,,
11.938.768/0001-90,empresa49@corp.net,
,empresa50@empresa.com.br,QualyServ - Construções LTDA
00.000.000/0000-00,,
84.449.242/0001-56,empresa52@empresa.com.br,
,empresa53@empresa.com.br,Construmax - Soluções em TI
00.000.000/0000-00,,
26.225.378/0001-79,empresa55@negocio.com,
,empresa56@corp.net,AlvoTech - Soluções em TI
00.000.000/0000-00,,
38.957.183/0001-28,empresa58@negocio.com,
,empresa59@negocio.com,Construmax - Construções LTDA
00.000.000/0000-00,,
36.234.541/0001-82,empresa61@servicos.org,
,empresa62@servicos.org,Construmax - Transportes Gerais
00.000.000/0000-00,,
96.155.932/0001-98,empresa64@servicos.org,
,empresa65@servicos.org,Grupo Nova Era - Comércio de Alimentos
00.000.000/0000-00,,
32.757.750/0001-76,empresa67@negocio.com,
,empresa68@empresa.com.br,Grupo Nova Era - Construções LTDA
00.000.000/0000-00,,
69.875.167/0001-53,empresa70@negocio.com,
,empresa71@servicos.org,AlvoTech - Construções LTDA
00.000.000/0000-00,,
57.594.144/0001-36,empresa73@empresa.com.br,
,empresa74@servicos.org,Grupo Nova Era - Soluções em TI
00.000.000/0000-00,,
81.629.329/0001-52,empresa76@empresa.com.br,
,empresa77@negocio.com,Grupo Nova Era - Construções LTDA
00.000.000/0000-00,,
18.177.522/0001-97,empresa79@servicos.org,
,empresa80@negocio.com,AlvoTech - Soluções em TI
00.000.000/0000-00,,
49.878.525/0001-63,empresa82@empresa.com.br,
,empresa83@empresa.com.br,AlvoTech - Comércio de Alimentos
00.000.000/0000-00,,
11.390.126/0001-76,empresa85@negocio.com,
,empresa86@empresa.com.br,QualyServ - Comércio de Alimentos
00.000.000/0000-00,,
81.640.795/0001-96,empresa88@empresa.com.br,
,empresa89@corp.net,Grupo Nova Era - Soluções em TI
00.000.000/0000-00,,
14.174.331/0001-61,empresa91@negocio.com,
,empresa92@negocio.com,AlvoTech - Transportes Gerais
00.000.000/0000-00,,
94.223.895/0001-69,empresa94@negocio.com,
,empresa95@empresa.com.br,Construmax - Transportes Gerais
00.000.000/0000-00,,
87.633.314/0001-27,empresa97@servicos.org,
,empresa98@empresa.com.br,Grupo Nova Era - Comércio de Alimentos
00.000.000/0000-00,,
43.961.400/0001-24,empresa100@negocio.com,
